"","B_R-B2_1_5404","B_R-B3_1_5405","B_R-B4_1_5406","B_R-D5_1_5407","B_R-D6_1_5408","B_R-D7_1_5409","B_R-D8_1_5410","B_R-D9_1_5411","B_R-E1_1_5412","B_R-E2_1_5413","L_R-E3_1_5424","L_R-E4_1_5425","L_R-E5_1_5426","L_R-E6_1_5427","L_R-E7_1_5428","L_R-E8_1_5429","L_R-F2_1_5433","L_R-F3_1_5434","M_R-E9_1_5435","M_R-F1_1_5436","M_R-F2_1_5437","M_R-F2_1_5439","M_R-F3_1_5438","M_R-F3_1_5440","P_R-C1_1_5414","P_R-C2_1_5415","P_R-C3_1_5416","P_R-C4_1_5417","P_R-C5_1_5418","P_R-C6_1_5419","P_R-C7_1_5420","P_R-C8_1_5421","P_R-C9_1_5422","P_R-D1_1_5423"
"Q80TP3",NA,NA,1.57284742524369,1.09231105036634,0.634300016786486,1.93395739353119,0.463797965697779,1.08906179940654,NA,NA,1.04335730492651,NA,NA,0.717395530982517,NA,NA,NA,0.862105013757693,0.269355350839662,0.838280497130032,1.35732301762796,1.49945507664329,1.34250339203811,1.46544870893797,2.29170000123403,NA,NA,0.712137417244021,1.16340436087072,0.994698230151841,0.0693147180559945,NA,NA,1.10947089365964
"Q80TQ2",2.18654911302226,5.72813451686456,2.65459709595312,4.59378675539759,3.10796497013953,3.94349737981854,2.37753259405216,4.9170007391693,2.40085761363819,2.7536218360939,1.38301196286212,NA,NA,0.137896247330092,NA,NA,0.295905565896306,NA,0.435061975076679,1.05636252968217,0.895110363423714,NA,1.64623966055945,NA,NA,NA,NA,NA,NA,2.34562533340504,NA,NA,NA,NA
"Q80TQ5",6.3479150413916,10.8933977644475,10.6070036479183,2.43273929238417,2.89401580637247,1.91940114521155,2.06726743821469,1.20363776873967,2.17979347058702,5.91308589921242,NA,NA,NA,NA,NA,NA,NA,1.35084018477571,0.226436765101617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80TR1",3.55418615411043,5.48485231597059,3.76829982985909,5.5296175265856,4.44945725734424,7.49831790619814,3.7618472651838,5.77703256236736,7.68237596140963,4.00642345292074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80TR4",NA,5.05176491445983,1.11642895219327,0.944811764132865,2.75165786993811,1.75565180461556,0.738570244284528,1.88921592905059,3.9474990017509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80TR8",1.71983182071139,2.684752573549,0.783905741963657,1.43978770828113,1.46355379181207,7.157708263595,1.14024066340281,1.71792235200829,NA,0.932579900568041,4.88647984074392,NA,0.528356300899146,1.5511640696875,0.721314152771945,NA,0.520008545098453,NA,0.588295264291164,1.0793246668306,2.39220203144188,2.20078611261507,2.01948500531782,2.14739399050881,NA,1.99657189472279,NA,0.666401452064429,NA,1.73220538979928,NA,NA,NA,4.22194686095706
"Q80TS3",4.02941528478913,6.47530200481107,4.26018271048098,4.86904522959812,5.02412985419519,6.99209336915164,4.67323724880253,4.75965645822631,6.43589880977253,3.39975039117827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80TS7",3.86433337965475,9.78791420420989,2.4052494022868,1.86559740654535,3.33525891302104,4.38463010369964,2.39457503721775,2.78520560968473,3.63896636474779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3301768638171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80TS8",14.9342026499435,NA,15.7929358970865,0.924053022533344,2.76640878299279,20.6369836655674,2.1136246081849,3.55601843805823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33193581387177,3.50710007427756,1.10155559206668,1.425566352679,3.92973196149103,NA,NA,NA,NA,1.91118903711221
"Q80TT2",6.38516001119029,6.30124289834485,5.05283081968789,5.68150732725308,6.1790335381558,9.00952346248699,5.60244550516375,5.8569786187322,7.42312772592171,4.41941097642186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
